id,customer_email,film_title,rental_date,return_date,staff_id,status
22,RAUL.FORTIER@email.com,CLOSER BANG,2005-05-25T01:19:23.000Z,2005-05-26T03:52:23.000Z,2,borrowed
35,ROBERTO.VU@email.com,ENEMY ODDS,2005-05-25T03:24:36.000Z,2005-05-27T06:02:36.000Z,2,delayed
67,SHERRY.MARSHALL@email.com,BANGER PINOCCHIO,2005-05-25T08:41:01.000Z,2005-05-27T12:46:01.000Z,2,delayed
87,ERIC.ROBERT@email.com,GANDHI KWAI,2005-05-25T12:52:43.000Z,2005-05-29T10:12:43.000Z,2,lost
139,MARSHA.DOUGLAS@email.com,BINGO TALENTED,2005-05-25T22:00:21.000Z,2005-05-29T16:12:21.000Z,1,returned
148,APRIL.BURNS@email.com,UNFORGIVEN ZOOLANDER,2005-05-25T23:25:23.000Z,2005-06-01T18:29:23.000Z,2,returned
154,ROBERTA.HARPER@email.com,FACTORY DRAGON,2005-05-25T23:55:56.000Z,2005-05-29T22:18:56.000Z,2,returned
166,JASON.MORRISSEY@email.com,STORY SIDE,2005-05-26T01:49:11.000Z,2005-05-31T00:28:11.000Z,1,lost
175,FRANCES.PARKER@email.com,VISION TORQUE,2005-05-26T02:46:26.000Z,2005-06-03T05:01:26.000Z,2,returned
177,ALLAN.CORNISH@email.com,SEATTLE EXPECATIONS,2005-05-26T03:14:29.000Z,2005-06-01T07:16:29.000Z,2,lost
196,VIVIAN.RUIZ@email.com,ATLANTIS CAUSE,2005-05-26T05:55:58.000Z,2005-05-27T09:54:58.000Z,1,lost
198,TERESA.ROGERS@email.com,GUNFIGHT MOON,2005-05-26T06:03:49.000Z,2005-06-04T10:45:49.000Z,1,delayed
204,CLAUDE.HERZOG@email.com,HAROLD FRENCH,2005-05-26T06:30:37.000Z,2005-05-30T07:11:37.000Z,1,returned
205,GRACE.ELLIS@email.com,BETRAYED REAR,2005-05-26T06:59:37.000Z,2005-05-29T08:43:37.000Z,2,delayed
221,LESLIE.GORDON@email.com,SHANE DARKNESS,2005-05-26T09:14:09.000Z,2005-05-29T04:57:09.000Z,1,returned
256,TROY.QUIGLEY@email.com,PULP BEVERLY,2005-05-26T14:20:58.000Z,2005-05-31T14:58:58.000Z,1,delayed
308,OLGA.JIMENEZ@email.com,ARTIST COLDBLOODED,2005-05-26T21:01:39.000Z,2005-06-04T19:24:39.000Z,2,borrowed
317,CLARENCE.GAMEZ@email.com,AGENT TRUMAN,2005-05-26T22:23:56.000Z,2005-06-01T18:56:56.000Z,2,delayed
324,MISTY.LAMBERT@email.com,ROCKETEER MOTHER,2005-05-27T00:00:04.000Z,2005-05-30T03:27:04.000Z,1,returned
331,KELLY.TORRES@email.com,HEAD STRANGER,2005-05-27T01:22:26.000Z,2005-06-04T23:25:26.000Z,1,delayed
341,GLORIA.COOK@email.com,TRAMP OTHERS,2005-05-27T03:01:42.000Z,2005-06-05T07:51:42.000Z,1,lost
343,JON.WILES@email.com,RESURRECTION SILVERADO,2005-05-27T03:13:41.000Z,2005-05-28T07:34:41.000Z,1,lost
364,RAY.HOULE@email.com,CONTROL ANTHEM,2005-05-27T06:20:12.000Z,2005-05-31T09:44:12.000Z,2,delayed
366,EMMA.BOYD@email.com,BLADE POLISH,2005-05-27T06:33:54.000Z,2005-06-04T00:55:54.000Z,2,lost
